series,RMSSE_sing,RMSSE_multi,model,improvement_pct
dis_renal_surgery,0.6579818497663384,0.6246838900830957,lgb,5.060619786863043
dis_mental_illness,0.5388989326471274,0.5200432601052793,lgb,3.498925568330046
dis_vascular_surgery,0.7309693432620374,0.7221355238224718,lgb,1.2085075141651849
dis_rheumatology,0.7242145817814791,0.7128630034471755,lgb,1.5674329984326159
dis_oral_surgery,0.5754074578184151,0.5591454311956993,lgb,2.8261758518687325
dis_teenage_cancer_trust_unit,0.45356515395207275,0.41630072532369566,lgb,8.215893197190969
dis_obstetrics,1.0025665910933084,0.9519814444812672,lgb,5.045564759631336
dis_rehabilitation,0.47313526223815416,0.46482461342238507,lgb,1.7565059041373887
dis_intensivist,0.7508329308921833,0.7525533186525102,lgb,-0.22913056813885854
adm_general_medicine,0.5659593912796478,0.5855031596423433,xgb,-3.4532103652360333
adm_haematology_clinical,0.29825376539972975,0.3481839671972769,xgb,-16.740845410829603
adm_endoscopy,0.8099939211469173,0.823971611723279,xgb,-1.7256537625084838
adm_other,0.5258297081116157,0.5641454723588878,xgb,-7.28672489518964
adm_general_surgery,0.5192252179636463,0.5266899391980866,xgb,-1.4376653860758652
adm_trauma_orthopaedics,0.559838392092955,0.593018211351868,xgb,-5.926678078448728
adm_ophthalmology,0.7610525218975833,0.6623370320985976,xgb,12.970916849845231
adm_cardiology,0.42725538940152247,0.4458598557965427,xgb,-4.354413509231659
adm_urology,0.42569600324064366,0.4235700696592924,xgb,0.49940181847314413
adm_thoracic_medicine,0.7774299680659738,0.7831929805468998,xgb,-0.7412902406197154
adm_gastroenterology,0.48630532302079243,0.5194225212995074,xgb,-6.809960062332896
adm_dermatology,0.35482294096288075,0.36433384721694917,xgb,-2.680465425448178
adm_gynaecology,0.5334536164242143,0.5605566583171249,xgb,-5.080674506358136
adm_neurology,0.4142197878511915,0.45186785154371206,xgb,-9.08890999336942
adm_gastroenterology_nurses,0.4920776615427515,0.5419037699893902,xgb,-10.125659492533128
adm_geriatric_medicine,0.8173586467653929,0.8416377587937484,xgb,-2.970435576161987
adm_gen_med_endoscopy_nurse,0.4248781060892503,0.47126175936753806,xgb,-10.916931847870822
adm_ear_nose_and_throat,0.5977034673296667,0.6332878078997581,xgb,-5.953510815165586
adm_nephrology,0.6244759414197315,0.6439372090372247,xgb,-3.116415913997982
adm_neurosurgery,0.6542483468333423,0.673299359868075,xgb,-2.911893186576987
adm_renal_surgery,0.5975347804013224,0.6267491995669833,xgb,-4.889157940905069
adm_mental_illness,0.5225963383733782,0.5456129530991873,xgb,-4.404281667462537
adm_vascular_surgery,0.7221768604760008,0.7745408144034907,xgb,-7.250849036200872
adm_rheumatology,0.7883905397568564,0.7907176084150019,xgb,-0.2951669941223878
adm_oral_surgery,0.5620434960419305,0.630093484594345,xgb,-12.107601819368394
adm_teenage_cancer_trust_unit,0.4309503282992348,0.48650475952158706,xgb,-12.891144889389079
adm_obstetrics,1.0009756092689512,0.9738285520971376,xgb,2.7120598064961974
adm_rehabilitation,0.5444878998494549,0.5417633097770429,xgb,0.5003949717092542
adm_intensivist,0.7477730400058092,0.8021667809186857,xgb,-7.2740976209109975
dis_general_medicine,0.47181820180983525,0.48869434542306117,xgb,-3.5768318281259948
dis_haematology_clinical,0.2853854442660456,0.36305024394300883,xgb,-27.214001708006368
dis_endoscopy,0.9006769750911077,0.8257827231119766,xgb,8.31532880826171
dis_other,0.5089482289168484,0.5456809181853692,xgb,-7.217372451947791
dis_general_surgery,0.510777894135565,0.5164529310440351,xgb,-1.1110576580598748
dis_trauma_orthopaedics,0.5443630130762767,0.5579745709152212,xgb,-2.500456039807623
dis_ophthalmology,0.7362825721978946,0.6626914827514179,xgb,9.994951968888552
dis_cardiology,0.3979102694284778,0.41896393042422575,xgb,-5.291057460262969
dis_urology,0.4340897931471032,0.43000406529485324,xgb,0.9412172128326028
dis_thoracic_medicine,0.6629950212610284,0.6520212653832579,xgb,1.6551792284802105
dis_gastroenterology,0.4309999369187626,0.47647036516978947,xgb,-10.549984897004151
dis_dermatology,0.33890361701340843,0.3641866965465655,xgb,-7.460256622801626
dis_gynaecology,0.5892992948226012,0.5933353876563808,xgb,-0.6848969393378608
dis_neurology,0.4019767644000469,0.4325412165924699,xgb,-7.603537044744524
dis_gastroenterology_nurses,0.4925040613753621,0.5134943761654954,xgb,-4.261957704778302
dis_geriatric_medicine,0.7783342375835006,0.7450366833025299,xgb,4.2780533957172215
dis_gen_med_endoscopy_nurse,0.4219040075656157,0.47826101287593753,xgb,-13.357779091860614
dis_ear_nose_and_throat,0.6535047027606254,0.6714342154667855,xgb,-2.7435935243342113
dis_nephrology,0.5783362135168275,0.5955774045076364,xgb,-2.9811709154379695
dis_neurosurgery,0.6654863435077722,0.6630909790908464,xgb,0.3599419342401454
dis_renal_surgery,0.6488348896289932,0.6504549767146562,xgb,-0.24969173383839663
dis_mental_illness,0.5345176321604377,0.5793821656096454,xgb,-8.393461833592317
dis_vascular_surgery,0.7244478805110433,0.7604108349863806,xgb,-4.964187962006076
dis_rheumatology,0.735189091009372,0.7282477811757863,xgb,0.9441529966196514
dis_oral_surgery,0.5291852702812018,0.6028643991485986,xgb,-13.923125416594594
dis_teenage_cancer_trust_unit,0.4482850396039899,0.4810373181361966,xgb,-7.30612794063788
dis_obstetrics,1.0427749839417761,1.0404796065414943,xgb,0.22012202398691358
dis_rehabilitation,0.5483696711468019,0.4890860163219555,xgb,10.8108923494742
