pscore,model,method,specialty,horizon_range
7.196988769013566,lgb,Multi,adm_general_medicine,15-21
4.787358421373485,lgb,Multi,adm_general_medicine,15-21
8.099175171660319,lgb,Multi,adm_general_medicine,15-21
6.667097801749887,lgb,Multi,adm_general_medicine,15-21
6.630264267570378,lgb,Multi,adm_general_medicine,15-21
6.37937721009297,lgb,Multi,adm_general_medicine,15-21
4.232831838138764,lgb,Multi,adm_general_medicine,15-21
5.282867279870259,lgb,Multi,adm_general_medicine,15-21
3.990649300427809,lgb,Multi,adm_general_medicine,15-21
11.596456423640499,lgb,Multi,adm_general_medicine,15-21
3.8650356580269274,lgb,Multi,adm_general_medicine,15-21
3.561671525409836,lgb,Multi,adm_general_medicine,15-21
3.0512504015948183,lgb,Multi,adm_general_medicine,15-21
6.378075894684241,lgb,Multi,adm_general_medicine,15-21
4.4722107036104015,lgb,Multi,adm_general_medicine,15-21
6.2069449926440745,lgb,Multi,adm_general_medicine,15-21
4.890115218479906,lgb,Multi,adm_general_medicine,15-21
7.153939243766037,lgb,Multi,adm_general_medicine,15-21
7.490747810021129,lgb,Multi,adm_general_medicine,15-21
3.548291764944134,lgb,Multi,adm_general_medicine,15-21
8.494760898857907,lgb,Multi,adm_general_medicine,15-21
6.648121855343718,lgb,Multi,adm_general_medicine,15-21
5.741257668743676,lgb,Multi,adm_general_medicine,15-21
2.4371041229660446,lgb,Multi,adm_general_medicine,15-21
5.902464639985614,lgb,Single,adm_general_medicine,22-42
5.757166810265881,lgb,Single,adm_general_medicine,22-42
8.114757886062739,lgb,Single,adm_general_medicine,22-42
7.0772437369045145,lgb,Single,adm_general_medicine,22-42
5.690725945380802,lgb,Single,adm_general_medicine,22-42
7.388060563268609,lgb,Single,adm_general_medicine,22-42
6.75289899198098,lgb,Single,adm_general_medicine,22-42
8.305760024387405,lgb,Single,adm_general_medicine,22-42
8.016778730276362,lgb,Single,adm_general_medicine,22-42
5.8548862533012525,lgb,Single,adm_general_medicine,22-42
4.286873097594171,lgb,Single,adm_general_medicine,22-42
3.3476619702992787,lgb,Single,adm_general_medicine,22-42
3.806067046193591,lgb,Single,adm_general_medicine,22-42
3.883455809890519,lgb,Single,adm_general_medicine,22-42
5.255479426015998,lgb,Single,adm_general_medicine,22-42
4.576420921084773,lgb,Single,adm_general_medicine,22-42
5.254127023249533,lgb,Single,adm_general_medicine,22-42
4.800054839859131,lgb,Single,adm_general_medicine,22-42
6.199843009456794,lgb,Single,adm_general_medicine,22-42
5.636449330146639,lgb,Single,adm_general_medicine,22-42
4.813135759962034,lgb,Single,adm_general_medicine,22-42
5.300082960638616,lgb,Single,adm_general_medicine,22-42
5.421696427106549,lgb,Single,adm_general_medicine,22-42
5.105613023063405,lgb,Single,adm_general_medicine,22-42
5.19015881479883,lgb,Single,adm_general_medicine,22-42
8.0087826129929,lgb,Single,adm_general_medicine,22-42
7.710290474373021,lgb,Single,adm_general_medicine,22-42
5.630790427174997,lgb,Single,adm_general_medicine,22-42
4.294867919507821,lgb,Single,adm_general_medicine,22-42
3.6161560917745716,lgb,Single,adm_general_medicine,22-42
6.2108834595214155,lgb,Multi,adm_general_medicine,22-42
6.6461022083382355,lgb,Multi,adm_general_medicine,22-42
9.880278690534894,lgb,Multi,adm_general_medicine,22-42
8.463845876072652,lgb,Multi,adm_general_medicine,22-42
5.921018708256425,lgb,Multi,adm_general_medicine,22-42
6.605505214566723,lgb,Multi,adm_general_medicine,22-42
6.630332706816698,lgb,Multi,adm_general_medicine,22-42
6.450470613313079,lgb,Multi,adm_general_medicine,22-42
5.944625664920569,lgb,Multi,adm_general_medicine,22-42
5.566728860916373,lgb,Multi,adm_general_medicine,22-42
4.585167552566476,lgb,Multi,adm_general_medicine,22-42
5.194859327463341,lgb,Multi,adm_general_medicine,22-42
4.023995306426931,lgb,Multi,adm_general_medicine,22-42
4.105972429797363,lgb,Multi,adm_general_medicine,22-42
6.113512724287359,lgb,Multi,adm_general_medicine,22-42
3.6209582100116497,lgb,Multi,adm_general_medicine,22-42
3.8975058220073646,lgb,Multi,adm_general_medicine,22-42
5.166549071620819,lgb,Multi,adm_general_medicine,22-42
6.213891348616872,lgb,Multi,adm_general_medicine,22-42
5.299752023411882,lgb,Multi,adm_general_medicine,22-42
4.70483281926473,lgb,Multi,adm_general_medicine,22-42
5.411317251197682,lgb,Multi,adm_general_medicine,22-42
6.071827924022992,lgb,Multi,adm_general_medicine,22-42
5.350464118414411,lgb,Multi,adm_general_medicine,22-42
5.2254381656365725,lgb,Multi,adm_general_medicine,22-42
6.380384497062498,lgb,Multi,adm_general_medicine,22-42
6.310880457369525,lgb,Multi,adm_general_medicine,22-42
5.786217510802181,lgb,Multi,adm_general_medicine,22-42
4.323715563134361,lgb,Multi,adm_general_medicine,22-42
3.5402384137552616,lgb,Multi,adm_general_medicine,22-42
2.9887036617752796,lgb,Single,adm_haematology_clinical,1-7
5.966164300886163,lgb,Single,adm_haematology_clinical,1-7
2.1611286382265606,lgb,Single,adm_haematology_clinical,1-7
2.782572478967212,lgb,Single,adm_haematology_clinical,1-7
3.3326223026374735,lgb,Single,adm_haematology_clinical,1-7
2.982199475391096,lgb,Single,adm_haematology_clinical,1-7
3.7509980025972323,lgb,Single,adm_haematology_clinical,1-7
14.786639303969414,lgb,Single,adm_haematology_clinical,1-7
5.334167285936603,lgb,Single,adm_haematology_clinical,1-7
5.877419733370034,lgb,Single,adm_haematology_clinical,1-7
7.829610284282087,lgb,Single,adm_haematology_clinical,1-7
3.1902844302193962,lgb,Single,adm_haematology_clinical,1-7
2.3145912995118687,lgb,Single,adm_haematology_clinical,1-7
2.1985731539200635,lgb,Single,adm_haematology_clinical,1-7
3.249942407329265,lgb,Single,adm_haematology_clinical,1-7
1.630464269293949,lgb,Single,adm_haematology_clinical,1-7
6.438297283207646,lgb,Single,adm_haematology_clinical,1-7
3.8065392993970426,lgb,Single,adm_haematology_clinical,1-7
12.744503434714833,lgb,Single,adm_haematology_clinical,1-7
3.7686504198569577,lgb,Single,adm_haematology_clinical,1-7
2.597229601430986,lgb,Single,adm_haematology_clinical,1-7
3.6340496812762475,lgb,Single,adm_haematology_clinical,1-7
4.8692989540693015,lgb,Single,adm_haematology_clinical,1-7
2.8700438133897923,lgb,Single,adm_haematology_clinical,1-7
3.912214425765087,lgb,Single,adm_haematology_clinical,1-7
3.580765051335415,lgb,Single,adm_haematology_clinical,1-7
4.116393091327888,lgb,Single,adm_haematology_clinical,1-7
4.759921363667522,lgb,Single,adm_haematology_clinical,1-7
16.642560770076575,lgb,Single,adm_haematology_clinical,1-7
9.250568970908784,lgb,Single,adm_haematology_clinical,1-7
2.374377831108244,lgb,Multi,adm_haematology_clinical,1-7
6.390388113873692,lgb,Multi,adm_haematology_clinical,1-7
2.9891504697809546,lgb,Multi,adm_haematology_clinical,1-7
2.7606605932485446,lgb,Multi,adm_haematology_clinical,1-7
3.9105955062899613,lgb,Multi,adm_haematology_clinical,1-7
4.175851631521098,lgb,Multi,adm_haematology_clinical,1-7
3.348485235467426,lgb,Multi,adm_haematology_clinical,1-7
6.059352822870427,lgb,Multi,adm_haematology_clinical,1-7
3.952646722966002,lgb,Multi,adm_haematology_clinical,1-7
3.68092160525631,lgb,Multi,adm_haematology_clinical,1-7
3.9954417369548523,lgb,Multi,adm_haematology_clinical,1-7
3.581329275270338,lgb,Multi,adm_haematology_clinical,1-7
1.9215713420330727,lgb,Multi,adm_haematology_clinical,1-7
2.0923137652180848,lgb,Multi,adm_haematology_clinical,1-7
3.296897423240222,lgb,Multi,adm_haematology_clinical,1-7
1.7989368175523026,lgb,Multi,adm_haematology_clinical,1-7
4.866601209204092,lgb,Multi,adm_haematology_clinical,1-7
2.3391974887783746,lgb,Multi,adm_haematology_clinical,1-7
5.528130639096768,lgb,Multi,adm_haematology_clinical,1-7
4.357245458284065,lgb,Multi,adm_haematology_clinical,1-7
2.2974947904935266,lgb,Multi,adm_haematology_clinical,1-7
3.1550368023407467,lgb,Multi,adm_haematology_clinical,1-7
4.3958568720276165,lgb,Multi,adm_haematology_clinical,1-7
3.468764472652057,lgb,Multi,adm_haematology_clinical,1-7
2.922604578625435,lgb,Multi,adm_haematology_clinical,1-7
2.9462866935536765,lgb,Multi,adm_haematology_clinical,1-7
2.9771686734314065,lgb,Multi,adm_haematology_clinical,1-7
4.804496060493213,lgb,Multi,adm_haematology_clinical,1-7
5.849511450165363,lgb,Multi,adm_haematology_clinical,1-7
7.2623407871170444,lgb,Multi,adm_haematology_clinical,1-7
4.324281239560072,lgb,Single,adm_haematology_clinical,8-14
6.768049774106223,lgb,Single,adm_haematology_clinical,8-14
4.888858706791416,lgb,Single,adm_haematology_clinical,8-14
3.2853220705369743,lgb,Single,adm_haematology_clinical,8-14
2.054250640255243,lgb,Single,adm_haematology_clinical,8-14
3.449693591512548,lgb,Single,adm_haematology_clinical,8-14
3.089315067361262,lgb,Single,adm_haematology_clinical,8-14
3.337270153492884,lgb,Single,adm_haematology_clinical,8-14
8.251291329347882,lgb,Single,adm_haematology_clinical,8-14
3.562295704756609,lgb,Single,adm_haematology_clinical,8-14
3.510171765314401,lgb,Single,adm_haematology_clinical,8-14
3.5085880368413913,lgb,Single,adm_haematology_clinical,8-14
2.3818048488701535,lgb,Single,adm_haematology_clinical,8-14
4.1895137193603045,lgb,Single,adm_haematology_clinical,8-14
4.757458589480074,lgb,Single,adm_haematology_clinical,8-14
3.848263682284909,lgb,Single,adm_haematology_clinical,8-14
6.480535670067364,lgb,Single,adm_haematology_clinical,8-14
10.648355880664477,lgb,Single,adm_haematology_clinical,8-14
4.4109292869774075,lgb,Single,adm_haematology_clinical,8-14
3.0011710310745316,lgb,Single,adm_haematology_clinical,8-14
3.9076400331782066,lgb,Single,adm_haematology_clinical,8-14
5.311775728648984,lgb,Single,adm_haematology_clinical,8-14
3.746137865430353,lgb,Single,adm_haematology_clinical,8-14
3.737178178069907,lgb,Single,adm_haematology_clinical,8-14
2.8802853222765896,lgb,Single,adm_haematology_clinical,8-14
3.9904863412945963,lgb,Single,adm_haematology_clinical,8-14
7.758852415069839,lgb,Single,adm_haematology_clinical,8-14
6.752251705032547,lgb,Single,adm_haematology_clinical,8-14
11.267695004488766,lgb,Single,adm_haematology_clinical,8-14
3.771010317839712,lgb,Single,adm_haematology_clinical,8-14
3.988646968574441,lgb,Multi,adm_haematology_clinical,8-14
5.891105017202143,lgb,Multi,adm_haematology_clinical,8-14
5.052757802426002,lgb,Multi,adm_haematology_clinical,8-14
