code,HRG 1,Code Description
F175,WD08,Mental and behavioural disorders due to use of tobacco: Psychotic disorder
F176,WD08,Mental and behavioural disorders due to use of tobacco: Amnesic syndrome
F177,WD08,Mental and behavioural disorders due to use of tobacco: Residual and late-onset psychotic disorder
F178,WD08,Mental and behavioural disorders due to use of tobacco: Other mental and behavioural disorders
F179,WD08,Mental and behavioural disorders due to use of tobacco: Unspecified mental and behavioural disorder
F180,WH22,Mental and behavioural disorders due to use of volatile solvents: Acute intoxication
F181,WD08,Mental and behavioural disorders due to use of volatile solvents: Harmful use
F182,WD08,Mental and behavioural disorders due to use of volatile solvents: Dependence syndrome
F183,WD08,Mental and behavioural disorders due to use of volatile solvents: Withdrawal state
F184,WD08,Mental and behavioural disorders due to use of volatile solvents: Withdrawal state with delirium
F185,WD08,Mental and behavioural disorders due to use of volatile solvents: Psychotic disorder
F186,WD08,Mental and behavioural disorders due to use of volatile solvents: Amnesic syndrome
F187,WD08,Mental and behavioural disorders due to use of volatile solvents: Residual and late-onset psychotic disorder
F188,WD08,Mental and behavioural disorders due to use of volatile solvents: Other mental and behavioural disorders
F189,WD08,Mental and behavioural disorders due to use of volatile solvents: Unspecified mental and behavioural disorder
F190,WH23,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Acute intoxication
F191,WD08,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Harmful use
F192,WD08,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Dependence syndrome
F193,WD08,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Withdrawal state
F194,WD08,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Withdrawal state with delirium
F195,WD08,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Psychotic disorder
F196,WD08,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Amnesic syndrome
F197,WD08,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Residual and late-onset psychotic disorder
F198,WD08,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Other mental and behavioural disorders
F199,WD08,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Unspecified mental and behavioural disorder
F200,WD07,Paranoid schizophrenia
F201,WD07,Hebephrenic schizophrenia
F202,WD07,Catatonic schizophrenia
F203,WD07,Undifferentiated schizophrenia
F204,WD07,Post-schizophrenic depression
F205,WD07,Residual schizophrenia
F206,WD07,Simple schizophrenia
F208,WD07,Other schizophrenia
F209,WD07,"Schizophrenia, unspecified"
F21X,WD07,Schizotypal disorder
F220,WD07,Delusional disorder
F228,WD07,Other persistent delusional disorders
F229,WD07,"Persistent delusional disorder, unspecified"
F230,WD07,Acute polymorphic psychotic disorder without symptoms of schizophrenia
F231,WD07,Acute polymorphic psychotic disorder with symptoms of schizophrenia
F232,WD07,Acute schizophrenia-like psychotic disorder
F233,WD07,Other acute predominantly delusional psychotic disorders
F238,WD07,Other acute and transient psychotic disorders
F239,WD07,"Acute and transient psychotic disorder, unspecified"
F24X,WD07,Induced delusional disorder
F250,WD07,"Schizoaffective disorder, manic type"
F251,WD07,"Schizoaffective disorder, depressive type"
F252,WD07,"Schizoaffective disorder, mixed type"
F258,WD07,Other schizoaffective disorders
F259,WD07,"Schizoaffective disorder, unspecified"
F28X,WD07,Other nonorganic psychotic disorders
F29X,WD07,Unspecified nonorganic psychosis
F300,WD06,Hypomania
F301,WD06,Mania without psychotic symptoms
F302,WD06,Mania with psychotic symptoms
F308,WD06,Other manic episodes
F309,WD06,"Manic episode, unspecified"
F310,WD06,"Bipolar affective disorder, current episode hypomanic"
F311,WD06,"Bipolar affective disorder, current episode manic without psychotic symptoms"
F312,WD06,"Bipolar affective disorder, current episode manic with psychotic symptoms"
F313,WD06,"Bipolar affective disorder, current episode mild or moderate depression"
F314,WD06,"Bipolar affective disorder, current episode severe depression without psychotic symptoms"
F315,WD06,"Bipolar affective disorder, current episode severe depression with psychotic symptoms"
F316,WD06,"Bipolar affective disorder, current episode mixed"
F317,WD06,"Bipolar affective disorder, currently in remission"
F318,WD06,Other bipolar affective disorders
F319,WD06,"Bipolar affective disorder, unspecified"
F320,WD06,Mild depressive episode
F321,WD06,Moderate depressive episode
F322,WD06,Severe depressive episode without psychotic symptoms
F323,WD06,Severe depressive episode with psychotic symptoms
F328,WD06,Other depressive episodes
F329,WD06,"Depressive episode, unspecified"
F330,WD06,"Recurrent depressive disorder, current episode mild"
F331,WD06,"Recurrent depressive disorder, current episode moderate"
F332,WD06,"Recurrent depressive disorder, current episode severe without psychotic symptoms"
F333,WD06,"Recurrent depressive disorder, current episode severe with psychotic symptoms"
F334,WD06,"Recurrent depressive disorder, currently in remission"
F338,WD06,Other recurrent depressive disorders
F339,WD06,"Recurrent depressive disorder, unspecified"
F340,WD06,Cyclothymia
F341,WD06,Dysthymia
F348,WD06,Other persistent mood [affective] disorders
F349,WD06,"Persistent mood [affective] disorder, unspecified"
F380,WD06,Other single mood [affective] disorders
F381,WD06,Other recurrent mood [affective] disorders
F388,WD06,Other specified mood [affective] disorders
F39X,WD06,Unspecified mood [affective] disorder
F400,WD05,Agoraphobia
F401,WD05,Social phobias
F402,WD05,Specific (isolated) phobias
F408,WD05,Other phobic anxiety disorders
F409,WD05,"Phobic anxiety disorder, unspecified"
F410,WD05,Panic disorder [episodic paroxysmal anxiety]
F411,WD05,Generalized anxiety disorder
F412,WD05,Mixed anxiety and depressive disorder
F413,WD05,Other mixed anxiety disorders
F418,WD05,Other specified anxiety disorders
F419,WD05,"Anxiety disorder, unspecified"
F420,WD05,Predominantly obsessional thoughts or ruminations
F421,WD05,Predominantly compulsive acts [obsessional rituals]
F422,WD05,Mixed obsessional thoughts and acts
F428,WD05,Other obsessive-compulsive disorders
F429,WD05,"Obsessive-compulsive disorder, unspecified"
F430,WD05,Acute stress reaction
F431,WD05,Post-traumatic stress disorder
F432,WD05,Adjustment disorders
F438,WD05,Other reactions to severe stress
F439,WD05,"Reaction to severe stress, unspecified"
F440,WD05,Dissociative amnesia
F441,WD05,Dissociative fugue
F442,WD05,Dissociative stupor
F443,WD05,Trance and possession disorders
F444,WD05,Dissociative motor disorders
F445,WD05,Dissociative convulsions
F446,WD05,Dissociative anaesthesia and sensory loss
F447,WD05,Mixed dissociative [conversion] disorders
F448,WD05,Other dissociative [conversion] disorders
F449,WD05,"Dissociative [conversion] disorder, unspecified"
F450,WD05,Somatization disorder
F451,WD05,Undifferentiated somatoform disorder
F452,WD05,Hypochondriacal disorder
F453,WD05,Somatoform autonomic dysfunction
F454,WD05,Persistent somatoform pain disorder
F458,WD05,Other somatoform disorders
F459,WD05,"Somatoform disorder, unspecified"
F480,WD05,Neurasthenia
F481,WD05,Depersonalization-derealization syndrome
F488,WD05,Other specified neurotic disorders
F489,WD05,"Neurotic disorder, unspecified"
F500,WD04,Anorexia nervosa
F501,WD04,Atypical anorexia nervosa
F502,WD04,Bulimia nervosa
F503,WD04,Atypical bulimia nervosa
F504,WD04,Overeating associated with other psychological disturbances
F505,WD04,Vomiting associated with other psychological disturbances
F508,WD04,Other eating disorders
F509,WD04,"Eating disorder, unspecified"
F510,WD04,Nonorganic insomnia
F511,WD04,Nonorganic hypersomnia
F512,WD04,Nonorganic disorder of the sleep-wake schedule
F513,WD04,Sleepwalking [somnambulism]
F514,WD04,Sleep terrors [night terrors]
F515,WD04,Nightmares
F518,WD04,Other nonorganic sleep disorders
F519,WD04,"Nonorganic sleep disorder, unspecified"
F520,WD04,Lack or loss of sexual desire
F521,WD04,Sexual aversion and lack of sexual enjoyment
F522,WD04,Failure of genital response
F523,WD04,Orgasmic dysfunction
F524,WD04,Premature ejaculation
F525,WD04,Nonorganic vaginismus
F526,WD04,Nonorganic dyspareunia
F527,WD04,Excessive sexual drive
F528,WD04,"Other sexual dysfunction, not caused by organic disorder or disease"
F529,WD04,"Unspecified sexual dysfunction, not caused by organic disorder or disease"
F530,WD04,"Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified"
F531,WD04,"Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified"
F538,WD04,"Other mental and behavioural disorders associated with the puerperium, not elsewhere classified"
F539,WD04,"Puerperal mental disorder, unspecified"
F54X,WD04,Psychological and behavioural factors associated with disorders or diseases classified elsewhere
F55X,WD04,Abuse of non-dependence-producing substances
F59X,WD04,Unspecified behavioural syndromes associated with physiological disturbances and physical factors
F600,WD03,Paranoid personality disorder
F601,WD03,Schizoid personality disorder
F602,WD03,Dissocial personality disorder
F603,WD03,Emotionally unstable personality disorder
F604,WD03,Histrionic personality disorder
F605,WD03,Anankastic personality disorder
F606,WD03,Anxious [avoidant] personality disorder
F607,WD03,Dependent personality disorder
F608,WD03,Other specific personality disorders
F609,WD03,"Personality disorder, unspecified"
F61X,WD03,Mixed and other personality disorders
F620,WD03,Enduring personality change after catastrophic experience
F621,WD03,Enduring personality change after psychiatric illness
F628,WD03,Other enduring personality changes
F629,WD03,"Enduring personality change, unspecified"
F630,WD03,Pathological gambling
F631,WD03,Pathological fire-setting [pyromania]
F632,WD03,Pathological stealing [kleptomania]
F633,WD03,Trichotillomania
F638,WD03,Other habit and impulse disorders
F639,WD03,"Habit and impulse disorder, unspecified"
F640,WD03,Transsexualism
F641,WD03,Dual-role transvestism
F642,WD03,Gender identity disorder of childhood
F648,WD03,Other gender identity disorders
F649,WD03,"Gender identity disorder, unspecified"
F650,WD03,Fetishism
F651,WD03,Fetishistic transvestism
F652,WD03,Exhibitionism
F653,WD03,Voyeurism
F654,WD03,Paedophilia
F655,WD03,Sadomasochism
F656,WD03,Multiple disorders of sexual preference
F658,WD03,Other disorders of sexual preference
F659,WD03,"Disorder of sexual preference, unspecified"
F660,WD03,Sexual maturation disorder
F661,WD03,Egodystonic sexual orientation
F662,WD03,Sexual relationship disorder
F668,WD03,Other psychosexual development disorders
F669,WD03,"Psychosexual development disorder, unspecified"
F680,WD03,Elaboration of physical symptoms for psychological reasons
F681,WD03,"Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]"
F688,WD03,Other specified disorders of adult personality and behaviour
F69X,WD03,Unspecified disorder of adult personality and behaviour
F700,WD09,"Mild mental retardation: With the statement of no, or minimal, impairment of behaviour"
F701,WD09,Mild mental retardation: Significant impairment of behaviour requiring attention or treatment
F708,WD09,Mild mental retardation: Other impairments of behaviour
F709,WD09,Mild mental retardation: Without mention of impairment of behaviour
F710,WD09,"Moderate mental retardation: With the statement of no, or minimal, impairment of behaviour"
F711,WD09,Moderate mental retardation: Significant impairment of behaviour requiring attention or treatment
F718,WD09,Moderate mental retardation: Other impairments of behaviour
F719,WD09,Moderate mental retardation: Without mention of impairment of behaviour
F720,WD09,"Severe mental retardation: With the statement of no, or minimal, impairment of behaviour"
F721,WD09,Severe mental retardation: Significant impairment of behaviour requiring attention or treatment
F728,WD09,Severe mental retardation: Other impairments of behaviour
F729,WD09,Severe mental retardation: Without mention of impairment of behaviour
F730,WD09,"Profound mental retardation: With the statement of no, or minimal, impairment of behaviour"
F731,WD09,Profound mental retardation: Significant impairment of behaviour requiring attention or treatment
F738,WD09,Profound mental retardation: Other impairments of behaviour
F739,WD09,Profound mental retardation: Without mention of impairment of behaviour
F780,WD09,"Other mental retardation: With the statement of no, or minimal, impairment of behaviour"
F781,WD09,Other mental retardation: Significant impairment of behaviour requiring attention or treatment
F788,WD09,Other mental retardation: Other impairments of behaviour
F789,WD09,Other mental retardation: Without mention of impairment of behaviour
F790,WD09,"Unspecified mental retardation: With the statement of no, or minimal, impairment of behaviour"
F791,WD09,Unspecified mental retardation: Significant impairment of behaviour requiring attention or treatment
F798,WD09,Unspecified mental retardation: Other impairments of behaviour
F799,WD09,Unspecified mental retardation: Without mention of impairment of behaviour
F800,WD09,Specific speech articulation disorder
F801,WD09,Expressive language disorder
F802,WD09,Receptive language disorder
F803,WD09,Acquired aphasia with epilepsy [Landau-Kleffner]
F808,WD09,Other developmental disorders of speech and language
F809,WD09,"Developmental disorder of speech and language, unspecified"
F810,WD09,Specific reading disorder
F811,WD09,Specific spelling disorder
F812,WD09,Specific disorder of arithmetical skills
F813,WD09,Mixed disorder of scholastic skills
F818,WD09,Other developmental disorders of scholastic skills
F819,WD09,"Developmental disorder of scholastic skills, unspecified"
F82X,WD09,Specific developmental disorder of motor function
F83X,WD09,Mixed specific developmental disorders
F840,WD09,Childhood autism
F841,WD09,Atypical autism
F842,WD09,Rett syndrome
F843,WD09,Other childhood disintegrative disorder
F844,WD09,Overactive disorder associated with mental retardation and stereotyped movements
F845,WD09,Asperger syndrome
F848,WD09,Other pervasive developmental disorders
F849,WD09,"Pervasive developmental disorder, unspecified"
F88X,WD09,Other disorders of psychological development
F89X,WD09,Unspecified disorder of psychological development
F900,WD09,Disturbance of activity and attention
F901,WD09,Hyperkinetic conduct disorder
F908,WD09,Other hyperkinetic disorders
F909,WD09,"Hyperkinetic disorder, unspecified"
F910,WD09,Conduct disorder confined to the family context
F911,WD09,Unsocialized conduct disorder
F912,WD09,Socialized conduct disorder
F913,WD09,Oppositional defiant disorder
F918,WD09,Other conduct disorders
F919,WD09,"Conduct disorder, unspecified"
F920,WD09,Depressive conduct disorder
F928,WD09,Other mixed disorders of conduct and emotions
F929,WD09,"Mixed disorder of conduct and emotions, unspecified"
F930,WD09,Separation anxiety disorder of childhood
F931,WD09,Phobic anxiety disorder of childhood
F932,WD09,Social anxiety disorder of childhood
F933,WD09,Sibling rivalry disorder
F938,WD09,Other childhood emotional disorders
F939,WD09,"Childhood emotional disorder, unspecified"
F940,WD09,Elective mutism
F941,WD09,Reactive attachment disorder of childhood
F942,WD09,Disinhibited attachment disorder of childhood
F948,WD09,Other childhood disorders of social functioning
F949,WD09,"Childhood disorder of social functioning, unspecified"
F950,AA25,Transient tic disorder
F951,AA25,Chronic motor or vocal tic disorder
F952,AA25,Combined vocal and multiple motor tic disorder [de la Tourette]
F958,AA25,Other tic disorders
F959,AA25,"Tic disorder, unspecified"
F980,WD09,Nonorganic enuresis
F981,WD09,Nonorganic encopresis
F982,WD09,Feeding disorder of infancy and childhood
F983,WD09,Pica of infancy and childhood
F984,WD09,Stereotyped movement disorders
F985,WD09,Stuttering [stammering]
F986,WD09,Cluttering
F988,WD09,Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F989,WD09,Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F99X,WD09,"Mental disorder, not otherwise specified"
G000,AA22,Haemophilus meningitis
G001,AA22,Pneumococcal meningitis
G002,AA22,Streptococcal meningitis
G003,AA22,Staphylococcal meningitis
G008,AA22,Other bacterial meningitis
G009,AA22,"Bacterial meningitis, unspecified"
G01X,AA22,Meningitis in bacterial diseases classified elsewhere
G020,AA22,Meningitis in viral diseases classified elsewhere
G021,AA22,Meningitis in mycoses
G028,AA22,Meningitis in other specified infectious and parasitic diseases classified elsewhere
G030,AA22,Nonpyogenic meningitis
G031,AA22,Chronic meningitis
G032,AA22,Benign recurrent meningitis [Mollaret]
G038,AA22,Meningitis due to other specified causes
G039,AA22,"Meningitis, unspecified"
G040,AA22,Acute disseminated encephalitis
G041,AA22,Tropical spastic paraplegia
G042,AA22,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified"
G048,AA22,"Other encephalitis, myelitis and encephalomyelitis"
G049,AA22,"Encephalitis, myelitis and encephalomyelitis, unspecified"
G050,AA22,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere"
G051,AA22,"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere"
G052,AA22,"Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere"
G058,AA22,"Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere"
G060,AA22,Intracranial abscess and granuloma
G061,AA22,Intraspinal abscess and granuloma
G062,AA22,"Extradural and subdural abscess, unspecified"
G07X,AA22,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
G08X,AA22,Intracranial and intraspinal phlebitis and thrombophlebitis
G09X,UZ01,Sequelae of inflammatory diseases of central nervous system
G10X,AA25,Huntington disease
G110,AA25,Congenital nonprogressive ataxia
G111,AA25,Early-onset cerebellar ataxia
G112,AA25,Late-onset cerebellar ataxia
G113,AA25,Cerebellar ataxia with defective DNA repair
G114,AA25,Hereditary spastic paraplegia
G118,AA25,Other hereditary ataxias
G119,AA25,"Hereditary ataxia, unspecified"
G120,AA25,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]"
G121,AA25,Other inherited spinal muscular atrophy
G122,AA28,Motor neuron disease
G128,AA25,Other spinal muscular atrophies and related syndromes
G129,AA25,"Spinal muscular atrophy, unspecified"
G130,AA25,Paraneoplastic neuromyopathy and neuropathy
G131,AA25,Other systemic atrophy primarily affecting central nervous system in neoplastic disease
G132,AA25,Systemic atrophy primarily affecting central nervous system in myxoedema
G138,AA25,Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere
G14X,AA26,Postpolio syndrome
G20X,AA25,Parkinson disease
G210,AA25,Malignant neuroleptic syndrome
G211,AA25,Other drug-induced secondary parkinsonism
G212,AA25,Secondary parkinsonism due to other external agents
G213,AA25,Postencephalitic parkinsonism
G214,AA25,Vascular parkinsonism
G218,AA25,Other secondary parkinsonism
G219,AA25,"Secondary parkinsonism, unspecified"
G22X,AA25,Parkinsonism in diseases classified elsewhere
G230,AA25,Hallervorden-Spatz disease
G231,AA25,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]
G232,AA25,"Multiple system atrophy, parkinsonian type [MSA-P]"
G233,AA25,"Multiple system atrophy, cerebellar type [MSA-C]"
G238,AA25,Other specified degenerative diseases of basal ganglia
G239,AA25,"Degenerative disease of basal ganglia, unspecified"
G240,AA25,Drug-induced dystonia
G241,AA25,Idiopathic familial dystonia
G242,AA25,Idiopathic nonfamilial dystonia
G243,AA25,Spasmodic torticollis
G244,AA25,Idiopathic orofacial dystonia
G245,AA25,Blepharospasm
G248,AA25,Other dystonia
G249,AA25,"Dystonia, unspecified"
G250,AA25,Essential tremor
G251,AA25,Drug-induced tremor
G252,AA25,Other specified forms of tremor
G253,AA26,Myoclonus
G254,AA25,Drug-induced chorea
G255,AA25,Other chorea
G256,AA25,Drug-induced tics and other tics of organic origin
G258,AA25,Other specified extrapyramidal and movement disorders
G259,AA25,"Extrapyramidal and movement disorder, unspecified"
G26X,AA25,Extrapyramidal and movement disorders in diseases classified elsewhere
G300,WD02,Alzheimer disease with early onset
G301,WD02,Alzheimer disease with late onset
G308,WD02,Other Alzheimer disease
G309,WD02,"Alzheimer disease, unspecified"
G310,AA25,Circumscribed brain atrophy
G311,AA25,"Senile degeneration of brain, not elsewhere classified"
G312,AA25,Degeneration of nervous system due to alcohol
G318,AA25,Other specified degenerative diseases of nervous system
G319,AA25,"Degenerative disease of nervous system, unspecified"
G320,HC28,Subacute combined degeneration of spinal cord in diseases classified elsewhere
G328,AA25,Other specified degenerative disorders of nervous system in diseases classified elsewhere
G35X,AA30,Multiple sclerosis
G360,AA30,Neuromyelitis optica [Devic]
G361,AA30,Acute and subacute haemorrhagic leukoencephalitis [Hurst]
G368,AA30,Other specified acute disseminated demyelination
G369,AA30,"Acute disseminated demyelination, unspecified"
G370,AA30,Diffuse sclerosis
G371,AA30,Central demyelination of corpus callosum
G372,AA22,Central pontine myelinolysis
G373,AA22,Acute transverse myelitis in demyelinating disease of central nervous system
G374,AA22,Subacute necrotizing myelitis
G375,AA30,Concentric sclerosis [Balo]
G378,AA30,Other specified demyelinating diseases of central nervous system
G379,AA30,"Demyelinating disease of central nervous system, unspecified"
G400,AA26,Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset
G401,AA26,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures
G402,AA26,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures
G403,AA26,Generalized idiopathic epilepsy and epileptic syndromes
G404,AA26,Other generalized epilepsy and epileptic syndromes
G405,AA26,Special epileptic syndromes
G406,AA26,"Grand mal seizures, unspecified (with or without petit mal)"
G407,AA26,"Petit mal, unspecified, without grand mal seizures"
G408,AA26,Other epilepsy
G409,AA26,"Epilepsy, unspecified"
G410,AA26,Grand mal status epilepticus
G411,AA26,Petit mal status epilepticus
G412,AA26,Complex partial status epilepticus
G418,AA26,Other status epilepticus
G419,AA26,"Status epilepticus, unspecified"
G430,AA31,Migraine without aura [common migraine]
G431,AA31,Migraine with aura [classical migraine]
G432,AA31,Status migrainosus
G433,AA31,Complicated migraine
G438,AA31,Other migraine
G439,AA31,"Migraine, unspecified"
G440,AA31,Cluster headache syndrome
G441,AA31,"Vascular headache, not elsewhere classified"
G442,AA31,Tension-type headache
G443,AA31,Chronic post-traumatic headache
G444,AA31,"Drug-induced headache, not elsewhere classified"
G448,AA31,Other specified headache syndromes
G450,AA29,Vertebro-basilar artery syndrome
G451,AA29,Carotid artery syndrome (hemispheric)
G452,AA29,Multiple and bilateral precerebral artery syndromes
G453,AA29,Amaurosis fugax
G454,AA29,Transient global amnesia
G458,AA29,Other transient cerebral ischaemic attacks and related syndromes
G459,AA29,"Transient cerebral ischaemic attack, unspecified"
G460,AA29,Middle cerebral artery syndrome
G461,AA29,Anterior cerebral artery syndrome
G462,AA29,Posterior cerebral artery syndrome
G463,AA29,Brain stem stroke syndrome
G464,AA29,Cerebellar stroke syndrome
G465,AA29,Pure motor lacunar syndrome
G466,AA29,Pure sensory lacunar syndrome
G467,AA29,Other lacunar syndromes
G468,AA29,Other vascular syndromes of brain in cerebrovascular diseases
G470,AA43,Disorders of initiating and maintaining sleep [insomnias]
G471,AA43,Disorders of excessive somnolence [hypersomnias]
G472,AA43,Disorders of the sleep-wake schedule
G473,DZ18,Sleep apnoea
G474,AA43,Narcolepsy and cataplexy
G478,AA43,Other sleep disorders
G479,AA43,"Sleep disorder, unspecified"
G500,AA26,Trigeminal neuralgia
G501,AA26,Atypical facial pain
G508,AA26,Other disorders of trigeminal nerve
G509,AA26,"Disorder of trigeminal nerve, unspecified"
G510,AA26,Bell palsy
G511,AA26,Geniculate ganglionitis
G512,AA26,Melkersson syndrome
G513,AA26,Clonic hemifacial spasm
G514,AA26,Facial myokymia
G518,AA26,Other disorders of facial nerve
G519,AA26,"Disorder of facial nerve, unspecified"
G520,AA26,Disorders of olfactory nerve
G521,AA26,Disorders of glossopharyngeal nerve
G522,AA26,Disorders of vagus nerve
G523,AA26,Disorders of hypoglossal nerve
G527,AA26,Disorders of multiple cranial nerves
G528,AA26,Disorders of other specified cranial nerves
G529,AA26,"Cranial nerve disorder, unspecified"
G530,AA26,Postzoster neuralgia
G531,AA26,Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere
G532,AA26,Multiple cranial nerve palsies in sarcoidosis
G533,AA26,Multiple cranial nerve palsies in neoplastic disease
G538,AA26,Other cranial nerve disorders in other diseases classified elsewhere
G540,AA26,Brachial plexus disorders
G541,AA26,Lumbosacral plexus disorders
G542,AA26,"Cervical root disorders, not elsewhere classified"
G543,AA26,"Thoracic root disorders, not elsewhere classified"
G544,AA26,"Lumbosacral root disorders, not elsewhere classified"
G545,AA26,Neuralgic amyotrophy
G546,AA26,Phantom limb syndrome with pain
G547,AA26,Phantom limb syndrome without pain
G548,AA26,Other nerve root and plexus disorders
G549,AA26,"Nerve root and plexus disorder, unspecified"
G550,AA26,Nerve root and plexus compressions in neoplastic disease
G551,AA26,Nerve root and plexus compressions in intervertebral disc disorders
G552,AA26,Nerve root and plexus compressions in spondylosis
G553,AA26,Nerve root and plexus compressions in other dorsopathies
G558,AA26,Nerve root and plexus compressions in other diseases classified elsewhere
G560,AA26,Carpal tunnel syndrome
G561,AA26,Other lesions of median nerve
G562,AA26,Lesion of ulnar nerve
G563,AA26,Lesion of radial nerve
G564,AA26,Causalgia
G568,AA26,Other mononeuropathies of upper limb
G569,AA26,"Mononeuropathy of upper limb, unspecified"
G570,AA26,Lesion of sciatic nerve
G571,AA26,Meralgia paraesthetica
G572,AA26,Lesion of femoral nerve
G573,AA26,Lesion of lateral popliteal nerve
G574,AA26,Lesion of medial popliteal nerve
G575,AA26,Tarsal tunnel syndrome
G576,AA26,Lesion of plantar nerve
G578,AA26,Other mononeuropathies of lower limb
G579,AA26,"Mononeuropathy of lower limb, unspecified"
G580,AA26,Intercostal neuropathy
G587,AA26,Mononeuritis multiplex
G588,AA26,Other specified mononeuropathies
G589,AA26,"Mononeuropathy, unspecified"
G590,AA26,Diabetic mononeuropathy
G598,AA26,Other mononeuropathies in diseases classified elsewhere
G600,AA26,Hereditary motor and sensory neuropathy
G601,AA26,Refsum disease
G602,AA26,Neuropathy in association with hereditary ataxia
G603,AA26,Idiopathic progressive neuropathy
G608,AA26,Other hereditary and idiopathic neuropathies
G609,AA26,"Hereditary and idiopathic neuropathy, unspecified"
G610,AA26,Guillain-Barre syndrome
G611,AA26,Serum neuropathy
G618,AA26,Other inflammatory polyneuropathies
G619,AA26,"Inflammatory polyneuropathy, unspecified"
G620,AA26,Drug-induced polyneuropathy
G621,AA26,Alcoholic polyneuropathy
G622,AA26,Polyneuropathy due to other toxic agents
G628,AA26,Other specified polyneuropathies
G629,AA26,"Polyneuropathy, unspecified"
G630,AA26,Polyneuropathy in infectious and parasitic diseases classified elsewhere
G631,AA26,Polyneuropathy in neoplastic disease
G632,AA26,Diabetic polyneuropathy
G633,AA26,Polyneuropathy in other endocrine and metabolic diseases
G634,AA26,Polyneuropathy in nutritional deficiency
G635,AA26,Polyneuropathy in systemic connective tissue disorders
G636,AA26,Polyneuropathy in other musculoskeletal disorders
G638,AA26,Polyneuropathy in other diseases classified elsewhere
G64X,AA26,Other disorders of peripheral nervous system
G700,AA26,Myasthenia gravis
G701,AA26,Toxic myoneural disorders
G702,AA26,Congenital and developmental myasthenia
G708,AA26,Other specified myoneural disorders
G709,AA26,"Myoneural disorder, unspecified"
G710,AA26,Muscular dystrophy
G711,AA26,Myotonic disorders
G712,AA26,Congenital myopathies
G713,AA26,"Mitochondrial myopathy, not elsewhere classified"
G718,AA26,Other primary disorders of muscles
G719,AA26,"Primary disorder of muscle, unspecified"
G720,AA26,Drug-induced myopathy
G721,AA26,Alcoholic myopathy
G722,AA26,Myopathy due to other toxic agents
G723,AA26,Periodic paralysis
G724,AA26,"Inflammatory myopathy, not elsewhere classified"
G728,AA26,Other specified myopathies
G729,AA26,"Myopathy, unspecified"
G730,AA26,Myasthenic syndromes in endocrine diseases
G731,AA26,Lambert-Eaton syndrome
G732,AA26,Other myasthenic syndromes in neoplastic disease
G733,AA26,Myasthenic syndromes in other diseases classified elsewhere
G734,AA26,Myopathy in infectious and parasitic diseases classified elsewhere
G735,AA26,Myopathy in endocrine diseases
G736,AA26,Myopathy in metabolic diseases
G737,AA26,Myopathy in other diseases classified elsewhere
G800,AA25,Spastic quadriplegic cerebral palsy
G801,AA25,Spastic diplegic cerebral palsy
G802,AA25,Spastic hemiplegic cerebral palsy
G803,AA25,Dyskinetic cerebral palsy
G804,AA25,Ataxic cerebral palsy
G808,AA25,Other cerebral palsy
G809,AA25,"Cerebral palsy, unspecified"
G810,AA25,Flaccid hemiplegia
G811,AA25,Spastic hemiplegia
G819,AA25,"Hemiplegia, unspecified"
G820,HC28,Flaccid paraplegia
G821,HC28,Spastic paraplegia
G822,HC28,"Paraplegia, unspecified"
G823,HC28,Flaccid tetraplegia
G824,HC28,Spastic tetraplegia
G825,HC28,"Tetraplegia, unspecified"
G830,HC28,Diplegia of upper limbs
G831,AA25,Monoplegia of lower limb
G832,AA25,Monoplegia of upper limb
G833,AA25,"Monoplegia, unspecified"
G834,AA26,Cauda equina syndrome
G835,AA25,Locked-in syndrome
G838,AA25,Other specified paralytic syndromes
